test_type	event_rate_multiplier	proportion_multiplier	nns	nnr	bias
High Sens/Low Spec	1	1.7000000000000002	4192755	2227131	0.22390728591844306
High Sens/Low Spec	1	1.8	1525914	810544	0.216474965729881
High Sens/Low Spec	1	1.9	805081	427648	0.20966076473944575
High Sens/Low Spec	1	2	507000	269312	0.20339954008542727
High Sens/Low Spec	1.1	1	178387	94757	0.2994827459286815
High Sens/Low Spec	1.1	1.1	286756	152321	0.2847731348945555
High Sens/Low Spec	1.1	1.2	510455	271147	0.27163381848410106
High Sens/Low Spec	1.1	1.3	1082735	575133	0.2598399809580052
High Sens/Low Spec	1.1	1.4	3320715	1763916	0.24920831124617251
High Sens/Low Spec	1.1	1.5	38844917	20633860	0.23958781994415182
High Sens/Low Spec	1.1	1.6	23572665	12521460	0.23085300029126807
High Sens/Low Spec	1.1	1.7000000000000002	3278806	1741655	0.22289866136126016
High Sens/Low Spec	1.1	1.8	1291387	685966	0.21563597370509344
High Sens/Low Spec	1.1	1.9	705593	374801	0.20898940708383376
High Sens/Low Spec	1.1	2	453491	240888	0.20289433339954738
High Sens/Low Spec	1.2	1	177646	94363	0.29720499348498836
High Sens/Low Spec	1.2	1.1	289589	153826	0.2827013943626454
High Sens/Low Spec	1.2	1.2	526600	279723	0.26976018214696573
High Sens/Low Spec	1.2	1.3	1160111	616234	0.25815790487117524
High Sens/Low Spec	1.2	1.4	3897081	2070074	0.24771241108452477
High Sens/Low Spec	1.2	1.5	82754452	43957971	0.2382737068863919
High Sens/Low Spec	1.2	1.6	14391514	7644565	0.2297171480540507
High Sens/Low Spec	1.2	1.7000000000000002	2636447	1400443	0.2219382977249319
High Sens/Low Spec	1.2	1.8	1111554	590442	0.21484899148641454
High Sens/Low Spec	1.2	1.9	627018	333063	0.20837429069323113
High Sens/Low Spec	1.2	2	410784	218203	0.2024500979969437
High Sens/Low Spec	1.3	1	178438	94784	0.29496063364437153
High Sens/Low Spec	1.3	1.1	295206	156809	0.28066379517423035
High Sens/Low Spec	1.3	1.2	549208	291732	0.26792187896940606
High Sens/Low Spec	1.3	1.3	1261488	670084	0.25651280055591585
High Sens/Low Spec	1.3	1.4	4717470	2505852	0.24625557467719575
High Sens/Low Spec	1.3	1.5	307856055	163528693	0.23700121215624967
High Sens/Low Spec	1.3	1.6	9637710	5119413	0.22862594301070555
High Sens/Low Spec	1.3	1.7000000000000002	2170087	1152719	0.2210260985054201
High Sens/Low Spec	1.3	1.8	971026	515795	0.21411419560351458
High Sens/Low Spec	1.3	1.9	564046	299613	0.20781590581342113
High Sens/Low Spec	1.3	2	376289	199880	0.20206768328901792
High Sens/Low Spec	1.4	1	180621	95943	0.2927485163261397
High Sens/Low Spec	1.4	1.1	303517	161224	0.27865928343569313
High Sens/Low Spec	1.4	1.2	578692	307393	0.2661179679235654
High Sens/Low Spec	1.4	1.3	1392168	739500	0.25490385970681567
High Sens/Low Spec	1.4	1.4	5921105	3145206	0.24483714971714257
High Sens/Low Spec	1.4	1.5	209559843899	111315164504	0.23576986640952202
High Sens/Low Spec	1.4	1.6	6886190	3657845	0.22757912973221947
High Sens/Low Spec	1.4	1.7000000000000002	1822268	967963	0.2201620574605871
High Sens/Low Spec	1.4	1.8	859464	456535	0.21343186895808472
High Sens/Low Spec	1.4	1.9	512988	272492	0.20731486953518058
High Sens/Low Spec	1.4	2	348191	184954	0.2017480911322602
High Sens/Low Spec	1.5	1	184119	97802	0.29056754124950107
High Sens/Low Spec	1.5	1.1	314555	167087	0.27668685533568416
High Sens/Low Spec	1.5	1.2	615819	327114	0.2643475596010368
High Sens/Low Spec	1.5	1.3	1560052	828677	0.25333032873320854
High Sens/Low Spec	1.5	1.4	7769509	4127052	0.24345654362484626
High Sens/Low Spec	1.5	1.5	342541527	181953115	0.2345792673826056
High Sens/Low Spec	1.5	1.6	5163265	2742652	0.2265765300581324
High Sens/Low Spec	1.5	1.7000000000000002	1556939	827024	0.21934625921543047
High Sens/Low Spec	1.5	1.8	769726	408868	0.212802402995701
High Sens/Low Spec	1.5	1.9	471221	250306	0.2068719300193887
High Sens/Low Spec	1.5	2	325185	172734	0.20149248271753234
High Sens/Low Spec	1.6	1	188912	100347	0.28841665476670275
